********
********
********
********
********
*****X**
*O***X**
XXXXXX**
Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
a6,1,Infinity,-Infinity,Infinity
pass,2,-Infinity,-Infinity,Infinity
pass,3,107,-Infinity,Infinity
pass,2,107,107,Infinity
a6,1,107,-Infinity,107
root,0,107,107,Infinity
b6,1,Infinity,107,Infinity
pass,2,-Infinity,107,Infinity
pass,3,95,107,Infinity
pass,2,95,107,Infinity
b6,1,95,107,Infinity
root,0,107,107,Infinity
c6,1,Infinity,107,Infinity
pass,2,-Infinity,107,Infinity
pass,3,106,107,Infinity
pass,2,106,107,Infinity
c6,1,106,107,Infinity
root,0,107,107,Infinity
f6,1,Infinity,107,Infinity
pass,2,-Infinity,107,Infinity
pass,3,146,107,Infinity
pass,2,146,146,Infinity
f6,1,146,107,146
root,0,146,146,Infinity
g6,1,Infinity,146,Infinity
pass,2,-Infinity,146,Infinity
pass,3,135,146,Infinity
pass,2,135,146,Infinity
g6,1,135,146,Infinity
root,0,146,146,Infinity
